Order_ID,Restaurant_Name,City,Delivery_Time,Distance,Cost,Rating,Order_Date,Order_Month,Order_day
1,Urban Kitchen,Mumbai,10,1.91,197,2.9,10/04/2024,4,10
2,Quickeats,Chennai,74,2.27,577,5,12/11/2024,11,12
3,Tasty Bites,Kolkata,10,3,505,2.4,11/07/2024,7,11
4,Quickeats,Chennai,69,10.97,636,1.4,21/03/2024,3,21
5,Quickeats,Chennai,34,1.42,825,4.1,29/11/2024,11,29
6,Foodies,Kolkata,19,2.17,667,1.9,01/03/2024,3,1
7,Tasty Bites,Chennai,59,14.22,354,3.1,08/05/2024,5,8
8,Tasty Bites,Kolkata,21,2.17,767,1.4,06/01/2024,1,6
9,Tasty Bites,Kolkata,41,8.52,586,3.5,21/01/2024,1,21
10,Quickeats,Kolkata,42,10,772,4.8,13/07/2024,7,13
11,Urban Kitchen,Mumbai,35,14.42,293,3.9,04/12/2024,12,4
12,Tasty Bites,Bangalore,51,13.6,615,1.9,28/01/2024,1,28
13,Quickeats,Mumbai,59,7.17,563,4.9,19/05/2024,5,19
14,Foodies,Kolkata,70,14.19,879,2.2,16/11/2024,11,16
15,Urban Kitchen,Bangalore,50,7.05,603,2.7,22/08/2024,8,22
16,Foodies,Bangalore,66,10.38,135,3,02/04/2024,4,2
17,Urban Kitchen,Kolkata,11,4.63,115,5,16/05/2024,5,16
18,Quickeats,Bangalore,79,9.91,988,1.3,22/03/2024,3,22
19,Spice Hub,Bangalore,40,8.53,748,3.8,13/11/2024,11,13
20,Urban Kitchen,Mumbai,32,9.5,689,2.4,30/12/2024,12,30
21,Foodies,Bangalore,63,10.56,922,1.3,09/09/2024,9,9
22,Quickeats,Kolkata,37,3.43,172,4.7,15/08/2024,8,15
23,Urban Kitchen,Delhi,28,5.22,419,3.4,20/12/2024,12,20
24,Spice Hub,Delhi,57,11.31,344,4,21/12/2024,12,21
25,Spice Hub,Delhi,11,3.29,957,2,22/08/2024,8,22
26,Tasty Bites,Kolkata,20,5.82,839,4,04/02/2024,2,4
27,Tasty Bites,Delhi,53,10.33,294,4.3,06/05/2024,5,6
28,Foodies,Mumbai,68,14.13,857,2.7,04/12/2024,12,4
29,Urban Kitchen,Kolkata,68,2.05,188,3.3,12/12/2024,12,12
30,Urban Kitchen,Kolkata,47,8.23,871,4.9,15/09/2024,9,15
31,Tasty Bites,Kolkata,34,2.15,897,4.4,07/05/2024,5,7
32,Urban Kitchen,Bangalore,30,6.31,238,2.8,22/02/2024,2,22
33,Urban Kitchen,Bangalore,51,3.46,662,3.7,09/04/2024,4,9
34,Spice Hub,Bangalore,45,10.09,758,4.1,12/07/2024,7,12
35,Tasty Bites,Chennai,18,11.61,853,1.1,27/08/2024,8,27
36,Quickeats,Mumbai,21,4.46,496,3.4,05/09/2024,9,5
37,Tasty Bites,Kolkata,19,10.98,583,4.9,19/10/2024,10,19
38,Quickeats,Kolkata,68,7.26,486,4.8,25/07/2024,7,25
39,Spice Hub,Bangalore,14,4.97,467,4.3,10/04/2024,4,10
40,Foodies,Kolkata,42,8.33,945,1.4,02/08/2024,8,2
41,Urban Kitchen,Kolkata,78,6.32,557,5,26/10/2024,10,26
42,Spice Hub,Delhi,72,4.22,521,3.4,04/03/2024,3,4
43,Urban Kitchen,Kolkata,38,11.6,331,1.9,26/08/2024,8,26
44,Foodies,Chennai,27,12.17,638,3.7,03/05/2024,5,3
45,Foodies,Bangalore,15,12.2,443,4.4,06/01/2024,1,6
46,Spice Hub,Mumbai,62,6.35,819,1.4,12/08/2024,8,12
47,Foodies,Mumbai,41,3.37,237,3,20/11/2024,11,20
48,Quickeats,Delhi,51,12.77,473,4.7,28/05/2024,5,28
49,Foodies,Mumbai,56,5.61,536,1.1,26/02/2024,2,26
50,Urban Kitchen,Mumbai,40,11.47,254,4.6,04/06/2024,6,4
51,Urban Kitchen,Bangalore,71,12.44,618,4.8,25/03/2024,3,25
52,Urban Kitchen,Bangalore,65,11.75,214,1.2,24/01/2024,1,24
53,Urban Kitchen,Unknown,20,6.46,191,2.2,24/04/2024,4,24
54,Quickeats,Delhi,35,14.13,445,2.5,01/04/2024,4,1
55,Tasty Bites,Mumbai,36,10.24,693,2.4,26/11/2024,11,26
56,Spice Hub,Chennai,66,9.06,624,3,09/07/2024,7,9
57,Urban Kitchen,Delhi,36,10.77,683,2.4,22/01/2024,1,22
58,Foodies,Mumbai,68,1.63,190,4.8,03/02/2024,2,3
59,Urban Kitchen,Mumbai,71,6.47,799,5,05/09/2024,9,5
60,Foodies,Bangalore,29,13.34,497,2.3,06/02/2024,2,6
61,Foodies,Kolkata,12,3.26,204,3,23/10/2024,10,23
62,Urban Kitchen,Delhi,25,6.8,911,3.2,30/11/2024,11,30
63,Quickeats,Mumbai,53,6.67,695,3.3,08/08/2024,8,8
64,Foodies,Delhi,39,5.98,639,2.5,13/08/2024,8,13
65,Foodies,Chennai,49,8.87,378,1.7,26/12/2024,12,26
66,Urban Kitchen,Chennai,74,14.95,111,1.2,25/10/2024,10,25
67,Foodies,Kolkata,38,4.58,406,1.4,04/10/2024,10,4
68,Foodies,Mumbai,39,10.87,463,4.6,12/12/2024,12,12
69,Urban Kitchen,Bangalore,41,11.61,761,2.1,21/01/2024,1,21
70,Urban Kitchen,Mumbai,19,9.18,417,1.3,21/02/2024,2,21
71,Spice Hub,Delhi,60,2.36,637,3.5,16/09/2024,9,16
72,Quickeats,Chennai,17,9.01,313,1.3,22/11/2024,11,22
73,Quickeats,Delhi,60,14.35,413,1.3,26/07/2024,7,26
74,Foodies,Kolkata,45,5.79,554,3.5,07/01/2024,1,7
75,Quickeats,Chennai,64,9.96,498,3.4,17/06/2024,6,17
76,Foodies,Bangalore,44,14.43,851,1.2,17/05/2024,5,17
77,Spice Hub,Chennai,45,12.17,321,2.8,08/07/2024,7,8
78,Urban Kitchen,Mumbai,65,10.64,679,2.7,19/05/2024,5,19
79,Urban Kitchen,Unknown,45,14.6,361,3.2,12/12/2024,12,12
80,Urban Kitchen,Chennai,70,3.39,595,4,04/06/2024,6,4
81,Quickeats,Kolkata,71,11.82,722,2.1,27/02/2024,2,27
82,Spice Hub,Mumbai,34,6.7,229,2.7,02/07/2024,7,2
83,Quickeats,Mumbai,73,6.05,258,3,10/09/2024,9,10
84,Quickeats,Bangalore,69,8.29,891,4.7,25/05/2024,5,25
85,Spice Hub,Chennai,66,1.47,390,4.6,03/07/2024,7,3
86,Spice Hub,Mumbai,79,5.38,914,2.9,26/06/2024,6,26
87,Spice Hub,Kolkata,61,3.33,642,3.1,06/05/2024,5,6
88,Spice Hub,Delhi,65,2.94,188,3.1,14/02/2024,2,14
89,Urban Kitchen,Chennai,72,5.72,431,4.5,08/07/2024,7,8
90,Tasty Bites,Bangalore,77,12.23,729,4.4,27/12/2024,12,27
91,Tasty Bites,Mumbai,29,3.82,605,2.2,11/07/2024,7,11
92,Spice Hub,Kolkata,63,8.44,229,1.7,24/02/2024,2,24
93,Tasty Bites,Chennai,10,11.48,306,2.5,20/10/2024,10,20
94,Tasty Bites,Kolkata,19,4.37,459,2.2,16/09/2024,9,16
95,Spice Hub,Kolkata,32,13.94,158,4.8,15/01/2024,1,15
96,Tasty Bites,Bangalore,60,13.13,195,2.1,28/05/2024,5,28
97,Quickeats,Chennai,33,4.52,930,1.7,28/05/2024,5,28
98,Foodies,Mumbai,22,14.85,345,4.6,07/09/2024,9,7
99,Foodies,Bangalore,38,10.37,558,1.3,10/09/2024,9,10
100,Spice Hub,Mumbai,67,5.01,244,2,01/08/2024,8,1
101,Urban Kitchen,Delhi,52,10.53,409,2.8,17/04/2024,4,17
102,Spice Hub,Kolkata,19,10.33,736,3.4,04/02/2024,2,4
103,Urban Kitchen,Delhi,40,9.49,633,2.3,16/09/2024,9,16
104,Foodies,Kolkata,23,10.96,480,3,14/08/2024,8,14
105,Spice Hub,Bangalore,43,4.76,452,1.8,07/08/2024,8,7
106,Quickeats,Mumbai,26,14.71,983,3.3,19/05/2024,5,19
107,Tasty Bites,Mumbai,30,13.01,384,2.6,23/02/2024,2,23
108,Urban Kitchen,Bangalore,76,11.44,818,4.4,12/10/2024,10,12
109,Tasty Bites,Chennai,67,1.37,601,2.7,21/09/2024,9,21
110,Tasty Bites,Delhi,17,9.27,357,2.8,01/10/2024,10,1
111,Spice Hub,Delhi,47,10.89,551,3.4,01/12/2024,12,1
112,Tasty Bites,Mumbai,35,12.96,151,1.5,19/04/2024,4,19
113,Quickeats,Mumbai,73,14.25,649,3,14/02/2024,2,14
114,Tasty Bites,Mumbai,39,13.82,998,4.2,05/10/2024,10,5
115,Spice Hub,Bangalore,18,6.68,764,2.1,27/11/2024,11,27
116,Quickeats,Chennai,41,13.55,944,3.7,17/09/2024,9,17
117,Foodies,Delhi,20,1.01,315,1.4,30/07/2024,7,30
118,Tasty Bites,Kolkata,43,5.92,545,4.3,13/07/2024,7,13
119,Spice Hub,Bangalore,27,2.59,322,5,28/04/2024,4,28
120,Foodies,Delhi,28,13.36,754,2.5,12/07/2024,7,12
121,Foodies,Chennai,63,13.99,204,3,12/02/2024,2,12
122,Urban Kitchen,Bangalore,46,4.58,621,2.8,14/09/2024,9,14
123,Quickeats,Delhi,21,6.14,853,4.6,24/06/2024,6,24
124,Tasty Bites,Bangalore,13,14.77,987,1,22/10/2024,10,22
125,Spice Hub,Delhi,52,8.92,482,3.6,08/04/2024,4,8
126,Urban Kitchen,Delhi,36,7.96,213,3.6,14/07/2024,7,14
127,Quickeats,Unknown,60,8.01,844,2.5,26/04/2024,4,26
128,Urban Kitchen,Kolkata,14,10.75,168,1.9,12/06/2024,6,12
129,Quickeats,Chennai,15,14.36,464,2,22/10/2024,10,22
130,Quickeats,Delhi,65,6.13,143,4.2,04/05/2024,5,4
131,Tasty Bites,Bangalore,77,3.42,780,1.3,22/12/2024,12,22
132,Quickeats,Chennai,53,3.59,310,3.3,15/10/2024,10,15
133,Urban Kitchen,Kolkata,24,1.29,375,2.2,29/12/2024,12,29
134,Quickeats,Delhi,51,8.78,206,2.1,26/05/2024,5,26
135,Tasty Bites,Chennai,20,14.01,578,3,19/06/2024,6,19
136,Tasty Bites,Unknown,20,10.98,778,4.6,05/11/2024,11,5
137,Urban Kitchen,Chennai,75,14.9,304,3.5,19/07/2024,7,19
138,Foodies,Chennai,36,13.73,218,4.2,17/12/2024,12,17
139,Foodies,Bangalore,67,7.89,585,3.4,13/12/2024,12,13
140,Quickeats,Kolkata,30,7.81,208,3.8,13/12/2024,12,13
141,Spice Hub,Kolkata,30,9.8,553,2.7,16/12/2024,12,16
142,Quickeats,Delhi,10,2.55,338,4.7,01/03/2024,3,1
143,Urban Kitchen,Mumbai,67,9.51,107,3,20/05/2024,5,20
144,Urban Kitchen,Unknown,22,7.5,611,3.2,18/06/2024,6,18
145,Urban Kitchen,Delhi,15,10,142,3.1,12/08/2024,8,12
146,Urban Kitchen,Delhi,67,8.91,493,2.3,21/08/2024,8,21
147,Urban Kitchen,Chennai,26,5.35,908,1.9,30/09/2024,9,30
148,Tasty Bites,Mumbai,21,9.51,231,1.3,08/08/2024,8,8
149,Foodies,Mumbai,61,6.12,817,3.9,30/12/2024,12,30
150,Urban Kitchen,Bangalore,79,3.72,999,2.2,18/08/2024,8,18
151,Spice Hub,Mumbai,61,10.45,551,2.6,23/11/2024,11,23
152,Spice Hub,Delhi,46,5.29,850,4.7,22/04/2024,4,22
153,Spice Hub,Mumbai,12,13.45,888,3.3,05/09/2024,9,5
154,Spice Hub,Mumbai,17,3.79,493,1.4,17/02/2024,2,17
155,Tasty Bites,Kolkata,19,9.4,657,4.2,16/12/2024,12,16
156,Spice Hub,Delhi,56,9,297,2,24/03/2024,3,24
157,Urban Kitchen,Mumbai,50,3.77,563,3.2,12/06/2024,6,12
